犬いぬ	狗 いぬ、いぬ- ケン dog words with this kanji: 子犬こいぬ - puppy
珍ちん	珎 めずら.しい、たから、うず チン rare, curious, strange words with this kanji: 珍めずらしい - rare, unusual
探たん	さぐ.る、さが.す トン、タン grope, search, look for words with this kanji: 探さがす - to look, to search 探検たんけん - 探検家たんけんか -
無む	"な.い、な.みする、なみ.する ム、ブ、モ nothingness, none, ain't, nothing, nil, not words with this kanji: 無料むりょう - free; at no cost 無能むのう - incompetence 無理むり 無駄むだ"
発はつ	發 た.つ、あば.く、おこ.る、 つか.わす、はな.つ ハツ、ホチ、ホツ departure, discharge, publish, emit, start from, disclose, (counter for gunshots) words with this kanji: 発音はつおん - pronunciation 開発かいはつ - development or exploitation of natural resources etc. ; development or creation of new technology, drugs, or products 爆発ばくはつ - explosion, blast, detonation 発生はっせい - occurrence, incidence
凄せい	淒 さむ.い、すご.い、すさ.まじい、 すご.み、すご.む セイ、サイ uncanny, weird, threatening, horrible words with this kanji: 凄すごい - amazing; great; wonderful, awfully; very; immensely, terrific
優ゆう	やさ.しい、すぐ.れる、まさ.る ユウ、ウ tenderness, excel, surpass, actor, superiority, gentleness words with this kanji: 優やさしい - kind, gentle, tender 俳優はいゆう 女優じょゆう
星ほし	皨 ほし、-ぼし セイ、ショウ star, spot, dot, mark Hoshi (surname) 太陽たいようは星ほしです。
湖みずうみ	みずうみ グ、ゴ、コ lake (body of water)
枝えだ	えだ シ、ギ、キ bough, branch, twig, limb, (counter for branches) 枝えだを折おった。
光ひかり	灮、炗 ひか.る、ひかり コウ ray, light Hikari (surname) Hikaru (male given name) words with this kanji: 光ひかる - to shine, gleam, glitter
波なみ	なみ ハ waves, billows, Poland Nami (female given name) words with this kanji: 津波つなみ - tsunami, a tidal wave
陽よう	日 ひ ヨウ sunshine, yang principle, positive, male, heaven, daytime words with this kanji: 太陽たいよう - the sun
舎しゃ	舍 やど.る、お.く シャ、セキ cottage, inn, hut, house, mansion words with this kanji: 田舎いなか - countryside
浜はま	濱 はま ヒン、ヒョウ、ホウ seacoast, beach, seashore Hama (surname) words with this kanji: 浜辺はまべ - beach, seashore 横浜よこはま - Yokohama 小浜おばま - Obama
折せつ	お.る、おり、お.り、-お.り、お.れる、くじ.く セチ、セツ、シャク fold, break, fracture, bend, yield, submit words with this kanji: 折おる - to break, to bend, to fold
景けい	影 けしき、かげ キョウ、エイ、ケイ scenery, view (counter for scenes (in a play)) words with this kanji: 景色けしき - scenery, view
濡じゅ	ぬれ.る、ぬら.す、ぬ.れる、ぬ.らす、 うるお.い、うるお.う、うるお.す ジュ、ニュ、ニュウ get wet, damp, make love words with this kanji: 濡ぬれる - to get wet
深しん	ふか.い、-ぶか.い、ふか.さ、 ふか.まる、ふか.める、み- シン deep, heighten, intensify, strengthen words with this kanji: 深ふかい - deep, profound 深ふかい愛情あいじょう
乾いぬい	乹 かわ.く、かわ.かす、ほ.す、ひ.る、 いぬい カン、ケン drought, dry, dessicate, drink up, heaven, emperor Inui (surname) words with this kanji: 乾かわく - to become dry, to dry up 乾燥かんそう
浅せん	淺 あさ.い セン shallow, superficial, frivolous, wretched, shameful words with this kanji: 浅あさい - shallow
富とみ	冨 と.む、とみ フ、フウ wealth, enrich, abundant words with this kanji: 富士ふじ - Fuji
士し	侍 さむらい、つかさ ジ、シ gentleman, scholar, samurai words with this kanji: 富士ふじ - Fuji
揺よう	搖 ゆ.れる、ゆ.る、ゆ.らぐ、ゆ.るぐ、 ゆ.する、ゆ.さぶる、ゆ.すぶる、うご.く ヨウ swing, shake, sway, rock, tremble, vibrate words with this kanji: 揺ゆれる - to shake, to quake, to sway back and forth
釣ちょう	つ.る、つ.り、つ.り-、つり、つ.るし、つる.し、つ.るす、つる.す チョウ angling, fish, catch, allure, ensnare words with this kanji: 釣つる - to fish, to angle
量りょう	はか.る リョウ quantity, measure, weight, amount, consider, estimate, surmise 量りょうより質しつのほうが大切たいせつです。
汁しる	しる、-しる、つゆ シュウ、ジュウ soup, juice, broth, sap, gravy, pus 味噌みそ汁しる
湯ゆ	ゆ トウ、タン、ヨウ hot water, bath, spring 祖母そぼは朝あさご飯はんでいつもお湯ゆを飲のみます。 お風呂ふろのお湯ゆがいっぱいです。
様さま	樣 さま、さん、くぬぎ、とち ヨウ、ゾウ、ショウ Esq., way, manner, situation, polite suffix Yō (female given name) words with this kanji: 様子ようす 本田ほんだ様さまはいらっしゃいましたか。 お客様きゃくさま、いらっしゃいませ！ 貴き様さま
客きゃく	まろうど キャク、カク guest, visitor, customer, client このレストランの客きゃくが少すくない。 お客きゃく様さま、いらっしゃいませ！
氷こおり	冰、凍り こおり、ひ、こお.る ヒョウ icicle, ice, hail, freeze, congeal Kōri (female given name, surname) 水みずは氷こおりになった。 氷ひょう菓か
和わ	大和、倭、閑 やわ.らぐ、やわ.らげる、なご.む、 なご.やか、あ.える ワ、オ、カ harmony, Japanese style, peace, soften, Japan Nodoka (unisex given name) words with this kanji: 和食わしょく - Japanese-style food
注ちゅう	そそ.ぐ、さ.す、つ.ぐ ス、シュ、チュウ pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate words with this kanji: 注文ちゅうもん - order 注射ちゅうしゃ 注そそぐ - to pour 注意ちゅうい
濃のう	こ.い ニュウ、ジョウ、ノウ concentrated, thick, dark, undiluted words with this kanji: 濃こい - deep (color), strong (flavor)
噌そ	かまびす.しい ソウ、ショウ、ソ boisterous words with this kanji: 味噌みそ - miso
残ざん	殘 のこ.る、のこ.す、そこな.う、のこ.り、ひどい、むごい ザン、サン remainder, leftover, balance words with this kanji: 残のこす - leave over, leave behind, let remain 残念ざんねん - regret
予よ	豫、余 あらかじ.め、あた.える、かね.て ヨ、シャ、ショ、ジョ、チョ beforehand, previous, myself, I words with this kanji: 予約よやく - reservation, booking 予習よしゅう - preparation for a lesson
約やく	つづ.まる、つづ.める、つづま.やか ヤク、ヨウ promise, approximately, shrink words with this kanji: 予約よやく - reservation, booking 約束やくそく -
勧かん	勸 すす.める カン、ケン persuade, recommend, advise, encourage, offer words with this kanji: 勧すすめる - to suggest, recommend, advice
決けつ	决 き.める、-ぎ.め、き.まる、さく.る、 しゃく.る、さ.く ケチ、ケツ decide, fix, agree upon, appoint words with this kanji: 決きまる - to be decided, to be concluded, to be brought to a resolution 決きめる - to make a choice between multiple alternatives, to decide
現げん	あらわ.れる、あらわ.す、うつつ、 うつ.つ ゲン、ケン present, existing, actual words with this kanji: 現金げんきん - cash
噛ごう	嚙 か.む、か.じる、か.ます コウ、ゴウ chew, bite, gnaw words with this kanji: 噛かむ - to bite, to chew
支し	えだ、ささ.える、つか.える、か.う シ branch, support, sustain words with this kanji: 支払しはらう - to pay
狼おおかみ	オオカミ おおかみ、おおかめ ロウ wolf 俺おれはオオカミに育そだてられた。
兎うさぎ	菟、兔、ウサギ うさぎ ト、ツ rabbit, hare
鼠ねずみ	鼡、ネズミ ねずみ、ねず、ね ソ、ショ rat, mouse, dark gray 彼かれはネズミを何匹なんびき飼かっているの？
象ぞう	ゾウ かたち、かたど.る、のり、きさ ショウ、ゾウ elephant, pattern, after, imitate, image, shape, sign (of the times) words with this kanji: 象徴しょうちょう - symbol 現象げんしょう - a phenomenon 自然現象しぜんげんしょう - a natural phenomenon
蜂はち	ハチ はち フ、フウ、ホウ bee, wasp, hornet
植しょく	う.える、う.わる、た.てる ジキ、ショク、チ plant words with this kanji: 植物しょくぶつ - plant 植うえる - to plant
染せん	そ.める、し.みる、そ.まる、し.める、し.み ネン、ゼン、セン dye, color, paint, stain, print words with this kanji: 汚染おせん - pollution
環かん	輪、鐶、手纏、指巻 わ、たまき、ゆびまき ゲン、カン ring, circle, link, wheel words with this kanji: 環境かんきょう - environment, surroundings 環境問題かんきょうもんだい - environmental problem, environmental issue
境きょう	界 さかい キョウ、ケイ boundary, border, region Sakai (surname) words with this kanji: 環境かんきょう - environment, surroundings 環境問題かんきょうもんだい - environmental problem; environmental issue 国境こっきょう -
飼し	か.う、やしな.う シ、ジ domesticate, raise, keep, feed words with this kanji: 飼かう - to keep; to have
資し	もと、たち、たす.ける シ assets, resources, capital, funds, data, be conducive to, contribute to words with this kanji: 資源しげん - resources 投資とうし - investment
源みなもと	厵 みなもと ゴン、ゲン、ガン source, origin Minamoto (surname) words with this kanji: 資源しげん - resources 源氏げんじ物語ものがたり
限げん	かぎ.る、かぎ.り、-かぎ.り、かぎり、 きり ゲン、カン limit, restrict, to best of ability words with this kanji: 限かぎる - to be limited to, to be restricted to
殺さつ	殺 ころ.す、-ごろ.し、そ.ぐ サツ、サイ、セツ kill, murder, butcher, slice off, split, diminish, reduce, spoil words with this kanji: 殺ころす - to kill, to put to death 自殺じさつ - suicide 殺人さつじん - homicide, especially murder 殺人犯さつじんはん - murderer 殺人罪さつじんざい - (the crime of) murder 殺人事件さつじんじけん - murder case
